ID,Nama,Kalori,Karbohidrat,Protein,Lemak,Jenis,Rating,,,,
BP001,Batatas kelapa umbi-umbian dibakar,220,46.8,2.8,2.2,Umbi Berpati,4.05,,,,
BP002,Batatas kelapa umbi-umbian dikukus,184,42,2.4,0.6,Umbi Berpati,2.97,,,,
BP003,Batatas tali umbi-umbian direbus,364,84.4,4.8,0.8,Umbi Berpati,2.75,,,,
BR002,Batatas ubi kecil ,152,32,2.2,1.8,Umbi Berpati,2.65,,,,
DR008,Bayam ,32,5.8,1.8,0.8,Sayuran,2.99,,,,
DP001,Bayam dikukus,60,11.6,2.6,1.4,Sayuran,4.71,,,,
,Bayam Merah,102,20,9.2,1,Sayuran,4.58,,,,
DR009,Bayam merah ,82,12.6,4.4,1.6,Sayuran,4.21,,,,
DP002,Bayam rebus,46,7.4,2.4,1.2,Sayuran,4.63,,,,
,Bayam tumis + oncom,204,13.8,7.4,13.4,Sayuran,2.77,,,,
,Bayam tumis bersantan,96,5.2,2.8,8.4,Sayuran,4.69,,,,
FP003,Bebek daging goreng,600,9,48,41.4,Daging,2.57,,,,
,Beberuk,130,7,2.2,10.4,Sayuran,2.25,,,,
,Beef burger,516,65,21.2,19,Daging,3.53,,,,
,Beef teriyaki ,302,44.6,17.2,6.2,Daging,4.51,,,,
,Beef yakiniku ,264,41.4,19.6,2.2,Daging,4.79,,,,
,Bekasam,232,12.2,23.8,9.8,Ikan dan Makanan Laut,4.23,,,,
,Bekasang,156,7.2,22.8,4,Ikan dan Makanan Laut,3.27,,,,
,Belibis,262,5.6,40.4,8.6,Daging,2.12,,,,
ER006,Belimbing wuluh ,72,17.6,0.8,0.8,Buah,4.31,,,,
GP002,Belut digoreng,834,64,51.8,38.8,Ikan dan Makanan Laut,2.47,,,,
BR005,Bengkuang ,118,25.6,2.8,0.4,Umbi Berpati,3.84,,,,
,Beras Giling masak (nasi),356,81.2,4.2,0.2,Serealia,4.05,,,,
AP015,Beras ketan hitam matang,362,74.6,8,2.4,Serealia,2.49,,,,
AP016,Beras ketan hitam tapai,332,68.8,7.6,2,Serealia,2.6,,,,
,Beras Ketan Hitam tape,332,68.8,7.6,2,Serealia,2.09,,,,
,Beras Ketan Putih kukus,326,71.4,6,0.8,Serealia,4.84,,,,
AP017,Beras ketan putih matang,326,71.4,6,0.8,Serealia,4.41,,,,
AP018,Beras ketan putih tape,344,75,6,1,Serealia,2.54,,,,
,Bihun,720,164.2,9.4,0.2,Serealia,2.67,,,,
,Bihun Goreng,308,51,6,9,Serealia,3.44,,,,
AP007,Bihun goreng instan,762,160.6,12.2,7.8,Serealia,3.78,,,,
,Biji Jambu Mete goreng,1258,39.6,43,113.2,Buah,2.88,,,,
AP035,Bika ambon,398,88.8,4.2,3,Serealia,3.24,,,,
,Bingka,546,78.2,10.6,21.2,Konfeksioneri,2.54,,,,
,Bobengka,450,90.4,10.6,5.2,Konfeksioneri,3.17,,,,
,Bolu peca,394,6.6,9.2,71.2,Konfeksioneri,4.78,,,,
,Botok lamtoro,372,26,23.4,19.4,Sayuran,4.71,,,,
,Brem,498,116,6.8,0.8,Konfeksioneri,2.99,,,,
,Brondong,800,190.6,8,1.4,Konfeksioneri,2.15,,,,
,Brongkos,282,25.2,30.6,6.6,Daging,4.67,,,,
FP039,Bronkos,282,25.2,30.6,6.6,Daging,4.22,,,,
ER014,Buah markisa ,110,24.4,2.4,0.2,Buah,3.53,,,,
